City,Company,Location,Reviews,Salary,Summary,Title,Indeed_Estimate
Dallas,Hitachi Consulting Corporation US,"Dallas, TX",153,124000,"The Data Scientist designs, builds and maintains analytical models that mine large sets of structured, semi-structured and unstructured data while looking for...",Sr Consultant Data Scientist,1
Dallas,7-Eleven,"Irving, TX",7125,115000,Work closely with data engineersto ensure the source data is aggregated and cleansed. Work with DevOps to build automated data pipelines....,Sr Data Scientist,1
Dallas,Workbridge Associates,"Dallas, TX",36,107500,"Experience with data modeling, analysis, programming, and stored procedures within an RDBMS. Data Science experience and/or interest with relevant technologies...","Full-Stack Software Engineer (Predictive Analytics, Machine...",0
Dallas,A+ Consulting,"Plano, TX",,150000,This is a direct hire position - not contract. Must be US citizen or Greencard. Great benefits with lots of perks. Unlimited vacation time. Principal NLP...,Principal Machine Learning/Nlp Engineer-Architect,0
Dallas,Platform by Per Scholas,"Dallas, TX",,55000,"Java, Oracle DB, Shell Scripting, SDLC and Coding Practices, JDBC, Excel (ODBC), Data Modeling and Warehousing, Hadoop, Map Reduce, Data Transfer (Sqoop), Pig...",Data Scientist/Analyst,0
Dallas,HRK Solutions,"Dallas, TX",,102500,"Data Scientist - Python, R, & SAS. ETL / Data warehousing Developer or Architect. NEW H1B Sponsorship available....",Sr. Software Engineer,0
Dallas,The We Are Big Data Scientists Company,"Dallas, TX",,77000,"We employ numerous roles including data scientists, database managers, data farm attendants, project managers and Technical Writers....",Technical Writer I,0
Dallas,Camden Kelly,"Dallas, TX",,105000,Effectively present the story that the data tells and keep a sharp eye on data trends. Independently investigate and interpret the data....,Data Scientist – Articulate Data’S Story & Get Flextime,0
Dallas,Arbor Diagnostics,"Dallas, TX 75234",,135000,Managing the implementation of data warehouse technologies. You will be leading a team of data architects and clinical applications specialists....,Clinical Informatics Director,0
Dallas,Hunt Around Solutions,"Dallas, TX",,150000,Interact with customers’ Data Scientists and Business Intelligence teams in developing the most effective analytics and advanced algorithms models that lead to...,Presales Big Data Consultant,0
Dallas,KeyStaff Inc.,"Irving, TX",10,85000,Interpret analytical or stability data. Enter and maintain nutritional data on the formulator software system and verify label data for finished products...,Sr. Product Development Scientist In Food Manufacturing,0
Dallas,Keystaff Inc,"Euless, TX",10,85000,Interpret analytical or stability data. Enter and maintain nutritional data on the formulator software system and verify label data for finished products...,Product Development Scientist,0
Dallas,"Kleinfelder, Inc.","Irving, TX",58,36500,"We are engineers, scientists, and construction professionals providing solutions that improve our clients’ transportation, water, energy, and other private...",Construction Materials Testing Technician,1
Dallas,"JAMY INTERACTIVE,INC","Dallas, TX",,130500,"Big Data environments:. Designs, develops, and implements algorithmic solutions for time series, streaming data, and big data at rest....",Senior Data Scientist,1
Dallas,AIC Talent Solutions,"Lewisville, TX",,122000,"Collaborate cross-functionally with data scientists, business users, project managers and other engineers to achieve elegant solutions....",Senior Java Developer,1
Chicago,Jobspring Partners,"Chicago, IL",18,120000,20% Data management. A well-known enterprise company in the transportation and logistics industry is hiring a Data Scientist to work on their Innovation team as...,Machine Learning Engineer,0
Chicago,Jobspring Partners,"Chicago, IL",18,195000,Experience building teams of high caliber data scientists. Are you a Data Scientist looking to put your Machine Learning skills to the test?...,Principal Machine Learning Engineer,0
Chicago,Workbridge Associates,"Chicago, IL",36,155000,100% Hands on working with a team of 12+ data architects and data scientist. A financial services firm is looking to bring a Machine Learning Architect to their...,Machine Learning Architect,0
Chicago,SymbaSync,"Chicago, IL",,130000,"You will work with architects and engineers on Azure based solutions, working with the consultants, data scientists and Internal Operations and Networks to...",Senior Developer - Backend - Chicago,0
Chicago,Robert Walters,"Chicago, IL",45,110000,Statistical and machine learning methods for financial data. Experience with stochastic mortgage credit risk and performance models including ADCo and CoreLogic...,Sr. Quantitative Analyst,0
Chicago,Workbridge Associates,"Evanston, IL",36,165000,You will be expected to manage a team of 3 data scientists and working with internal stakeholders and other teams to automate their processes....,Director Of Data Science,0
Chicago,All-In Analytics,"Chicago, IL",,125000,"Use your analytical acumen to influence business strategy working with a network of analysts, data scientists & statisticians. Sr....",Sr. Model Validation Analyst,0
Chicago,Workbridge Associates,"Chicago, IL",36,150000,You will be working with and managing on a team of data architects and data scientists to build an enterprise data warehouse and then an analytics platform on...,Senior Director Of Data Engineering,0
Chicago,Burns & McDonnell,"Chicago, IL 60664 (Near West Side area)",140,102000,+ Analyze data; + Manage integrated data from one program to another\. + Analyze and report on data from Oracle Primavera P6\....,Staff Project Controls Specialist,1
Chicago,The Climate Corporation,"Chicago, IL",10,135000,"Exposure to geospatial data management and map-based data and distribution services. Design, build and optimize our big data processing capabilities that...","Senior Software Engineer, Backend",1
Chicago,Jobspring Partners,"Evanston, IL",18,135000,"In this role, you’ll be working in conjunction with the data team to build platforms that allow the data scientists to deploy models on, handle data ingestion,...",Senior Python Engineer - Big Data And Cloud,0
Chicago,Workbridge Associates,"Chicago, IL",36,95000,You will be working hands on with a team of data architects and data scientists to build an enterprise data warehouse and then an analytics platform on top of...,"Data Engineer (C#, Azure, Nosql)",0
Chicago,Jobspring Partners,"Evanston, IL",18,135000,"In this role, you’ll be working in conjunction with the data team to build platforms that allow the data scientists to deploy models on, handle data ingestion,...",Senior Jvm Engineer,0
Chicago,Workbridge Associates,"Chicago, IL",36,95000,You would be working along side of one other data scientist so your work will have a direct impact on the organization....,Data Scientist,0
Chicago,3coast,"Chicago, IL",2,100000,To manipulate data and draw insights from large data sets. Experience working with and creating data architectures....,Data Scientist,0
Chicago,Jobspring Partners,"Chicago, IL",18,160000,We’re one of Chicago’s largest software shops looking to hire on a Principal Data Lead to come perform the core tasks laid out by our data team....,Principal Data Lead (Machine Learning),0
Chicago,Department of Commerce,"Oak Brook, IL",738,75548,Manage data collection to ensure training and observation programs are utilized to foster quality data collection techniques....,"Supervisory Survey Statistician (Regional Survey Manager), G...",0
Chicago,Liberty Mutual,"Chicago, IL",2334,135000,Collaborate with broader data science team and support the development of tools and technologies to enhance department’s modelling capabilities along with...,"Senior Data Scientist - Strategic Model Development, Global...",0
Chicago,Jobspring Partners,"Chicago, IL",18,72500,"The Data Analyst will join the other analyst and data scientists to help build data sets, implement the models into the environment, and then continue to run...","Data Modeler/Analyst (Sql, Tableau)",0
Chicago,Workbridge Associates,"Chicago, IL",36,140000,100% Hands On and collaboration with devops and data engineering team. Analyze clients data and determine the best course of action to improve clients business....,"Senior Data Scientist (Spark, Aws, Redshift)",0
Chicago,Workbridge Associates,"Evanston, IL",36,115000,The leading marketing analytics company here in Chicago is looking for a Senior Level Data Scientist to be a part of a new team....,"Senior Level Data Scientist (Machine Learning, Neural-Networ...",0
Chicago,Jobspring Partners,"Chicago, IL",18,62500,This client is looking for a client-facing Data Analyst to come join their growing remote team. You would be a liaison between the engineers/data scientists on...,Full Time Client-Facing Data Analyst (Remote),0
Chicago,Bulletin of the Atomic Scientists,"Chicago, IL",,38500,Efficient data entry skills and great attention to detail. About the Bulletin of the Atomic Scientists *....,Communications Coordinator,0
Chicago,Fresh Coast Capital,"Chicago, IL",,60000,"Our experienced team is comprised of community organizers, engineers, environmental scientists, and finance professionals....",Project Finance Analyst/Associate,0
Chicago,Ezra Penland Actuarial Recruitment,"Chicago, IL",,150000,"A Chicago, Illinois client is looking for a Predictive Modeling Actuary for Position 80836. ACAS or FCAS with at least five years of property and casualty...",Your Predictive Modeling Actuary #80836,0
Chicago,Razor,"Chicago, IL",,157500,"As a Data Scientist, a typical day to include the following:. Define requirements for new enterprise statistical solutions and hand off requirements documents...",Data Scientist,0
Chicago,CareerMonks,"Chicago, IL",,135000,"* Ph.D. degree in Computer Science, Statistics or related discipline, plus 2-4 years of relevant post-PhD work experience; * In lieu of a Ph.D., 5-8 years of...",Data Scientist,0
Chicago,Lumity Inc,"Chicago, IL 60605 (Near South Side area)",,100000,"An amazing team of tech professionals, data scientists and benefits specialists with the drive to deliver a superior benefits experience to our clients needs...",Regional Enterprise Benefits Executive - Chicago,0
Chicago,DirectHR,"Chicago, IL",,95000,"Review, interpret analytical results and data. Manage laboratory investigations, raw data review, analysis and report writing....",Sr. Analytical Scientist,0
Chicago,Lighthouse Recruiting,"Chicago, IL",,71000,"Reviews drug confirmation data from the laboratory, compares with the initial screening data for accuracy and release the results....",Certifying Scientist,0
Chicago,Ezra Penland Actuarial Recruitment,"Chicago, IL",,147500,A property and casualty insurance Data Scientist is immediately sought by a Chicago insurer for Position 79889....,Property Casualty Insurance Data Scientist #79889,0
Chicago,SwipeSense,"Chicago, IL",,126000,"Knowledge of distributed data storage with Hadoop, Cassandra, or equivalent. Collaborate with Data Engineers team to implement algorithms in production...",Senior Data Scientist,1
Seattle,BSQUARE,"Bellevue, WA 98004 (Downtown area)",11,101000,"Work in coordination with Bsquare Solution Architects and Data Scientists. With this background in developing devices, we are now evolving into an IoT solutions...",Software Engineer,1
Seattle,Microsoft,"Redmond, WA 98052",4197,107000,"We are a team of diverse, passionate, humble and eager engineers, data scientists, and researchers, who are driven to work together as one team to not only...",Prinicipal Software Engineer,1
Seattle,SymbaSync,"Seattle, WA",,130000,"You will work with architects and engineers on Azure based solutions, working with the consultants, data scientists and Internal Operations and Networks to...",Senior Developer - Backend - Seattle,0
Seattle,"Amazon.com Services, Inc.","Seattle, WA",22366,154500,"Computer Science fundamentals in data structures. Experience working with modern tools for big data storage and analysis (e.g., AWS, Apache Spark, Hadoop, SQL,...",Software Development Engineer,1
Seattle,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",71,43000,"Participation in lab meetings and presentation of data will be required. We are looking for an individual with excellent communication skills, who is able to...",Research Technician I,1
Seattle,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",71,36500,"S/he will report to a staff scientist and work closely with a technical team. S/he will be responsible for performing the assays as part of a technical team,...","Research Technician I, Hvtn",1
Seattle,Fred Hutchinson Cancer Research Center,"Seattle, WA 98109 (Westlake area)",71,37500,"Maintain laboratory records and compile data on experiments and assays. At Fred Hutchinson Cancer Research Center, home to three Nobel laureates,...","Research Technician I, Immunology",1
Seattle,"Amazon.com Services, Inc.","Seattle, WA",22366,132500,"Computer Science fundamentals in object-oriented design, data structures, high-performance computing. Experience with machine learning, deep learning, data...","Software Development Engineer, Aws Lex",1
Seattle,Liberty Mutual,"Seattle, WA",2334,121000,Liberty Mutual’s Commercial Insurance Information Management Analytics Team is actively searching for a Principal Software Developer to support the Data...,Principal Software Developer - Data Solutions,0
Seattle,All-In Analytics,"Seattle, WA",,225000,"Head Data Scientist. As the Head Data Scientist on the experimental team, be ready to on the cutting edge of big data on a team existing to innovate and...",Head Data Scientist,0
Seattle,All-In Analytics,"Seattle, WA",,177500,"Senior Data Scientist. As the Senior Data Scientist on the experimental team, be ready to on the cutting edge of big data on a team existing to innovate and...",Lead Data Scientist,0
Seattle,3coast,"Bellevue, WA",2,137500,"Senior Data Scientist. The Senior Data Scientist is a knowledgeable leader who is passionate about data modeling, forecasting, optimization, and possesses a...",Senior Data Scientist,0
Seattle,Cannabis Retail Company,"Seattle, WA",,41500,"Data entry (Database). Core Competencies, LLC prepares applications for regulated commercial cannabis businesses in municipalities nationwide....",Research Analyst,0
Seattle,"Kleinfelder, Inc.","Redmond, WA",58,40500,"We are engineers, scientists, and construction professionals providing solutions that improve our clients’ transportation, water, energy, and other private...",Construction Materials Testing Technician / Special Inspecto...,1
Seattle,MMT,"Seattle, WA",,165000,You will be working with large sets of data where you can truly dig in and drive the data focus. They are looking for a Senior Data Scientist to join their...,Senior Data Scientist,0
Seattle,Smith Hanley Associates,"Seattle, WA",17,170000,Senior Data Scientist. Senior Data Scientist Responsibilities:. 7+ years experience with data visualization and modeling....,Senior Data Scientist,0
Seattle,Curacloud,"Seattle, WA 98104 (First Hill area)",,133000,"We are looking for multiple, talented data scientists and machine learning experts to help build our cloud-based data analysis platform....",Senior Data Scientist - Natural Language Processing,1
Seattle,AnswerIQ,"Bellevue, WA",,143000,AnswerIQ is looking for a Senior Data/NLP Scientist to join our data science team. Our data science team dedicate to apply Natural Language Processing and...,Senior Data/Nlp Scientist,1
Seattle,Neal Analytics,"Redmond, WA",,115500,"Work with Project Managers, Data Engineers, and senior-level Data Scientists to execute tasks/projects. Worked with data pipeline activities, example being data...",Senior Data Scientist - Neural Networks,1
Los Angeles,SymbaSync,"Los Angeles, CA",,135000,"By creating your profile on SymbaSync you will be eligible for this job opportunity, and all others being hired for on the site. Our client is looking for an...",Machine Learning Engineer - La,0
Los Angeles,Los Angeles County Human Resources,"Los Angeles County, CA",388,87892,Participates in policy discussions based on research studies and data compiled. COUNTY OF LOS ANGELES PROBATION DEPARTMENT....,"Chief Research Analyst, Behavioral Sciences",0
Los Angeles,Los Angeles County Department of Human Resources,"Los Angeles, CA",388,66795,"Research experience working with Statistical Analysis Software (SAS) package, Microsoft ACCESS, and Microsoft Excel to import/export, manage large data sets...","Research Analyst Ii, Behavioral Sciences",0
Los Angeles,USC,"Los Angeles, CA",515,134464,"The candidate must be willing to perform low-level data manipulations, including locating/downloading data from public resources, populating databases, and data...",Computer Scientist,0
Los Angeles,BlackLine,"Woodland Hills, CA",4,127500,"Data warehousing experience, data models, Database design. In this team, you would have the opportunity to work closely with Data Architects, Database Engineers...",Data Engineer,1
Los Angeles,The Aerospace Corporation,"El Segundo, CA 90245",77,113000,"Time series data analysis; Mode survey test planning and independent data assessment; Statistics, control theory, signal processing, and/or time series data...",Numerical Analyst/Software Developer,1
Los Angeles,Calance US,"Buena Park, CA",7,98500,"Prepare and process data to be suitable to anticipated and ad-hoc analyses by data scientist and analyst colleagues, including necessary metadata and provenance...",Python Etl/Data Integration Engineer,0
Los Angeles,"Prisms Consulting Group, LLC","Beverly Hills, CA 90212",,130000,"Provided by Dice Data Wrangling, Data Exploration and Visualization, Data Analysis, Python, Tableau, Qlik. O Build a data pipeline for ongoing data extraction....",Data Scientist,0
Los Angeles,City of Hope,"Duarte, CA 91010",169,59146,"At the end of your CV, list the names of three references that address your potential as an academic scientist....",Postdoctoral Research Training Fellowships | Dna Damage Resp...,0
Los Angeles,The Aerospace Corporation,"El Segundo, CA 90245",77,148000,"Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Background in object-oriented design and development, and...",Software Systems Engineer,1
Los Angeles,The Aerospace Corporation,"El Segundo, CA 90245",77,138500,"Lead ETG (Engineering & Tehnology Group) efforts for test data evaluation, requirement verification reviews, and anomaly resolutions....",Ground Systems Engineer,1
Los Angeles,Department of Commerce,"Van Nuys, CA",738,75316,Manage data collection to ensure training and observation programs are utilized to foster quality data collection techniques....,"Supervisory Survey Statistician (Regional Survey Manager), G...",0
Los Angeles,Workbridge Associates,"Anaheim, CA",36,120000,"Machine learning, big data, and data classification. Industrial manufacturing company is looking for a Senior Data Scientist to join their team in Anaheim....",Senior Data Scientist,0
Los Angeles,Lunar Digital Assets,"Santa Monica, CA",,117500,"Data Scientist / Analyst / Big Data Specialist*. I hope it does, because we are seeking experienced data scientists preferably with a strong background in...",Sr. Data Scientist For Exciting Blockchain Research Firm,0
Los Angeles,Art Center College of Design,"Pasadena, CA",21,60000,"Experience with validating data to ensure data integrity. Conduct audits and complete extensive data clean-up for Institutional Research, including but not...",Assistant Research Analyst,0
Los Angeles,Bradan,"Los Angeles, CA 90066",,157500,"You will be interfacing with cross-discipline team including data scientists, clinicians, researchers, analysts, product managers, and will be helping to gain...",Lead Cloud Solution Architect,0
Los Angeles,Lumity Inc,"Los Angeles, CA",,100000,"An amazing team of tech professionals, data scientists and benefits specialists with the drive to deliver a superior benefits experience to our clients needs...",Regional Enterprise Benefits Executive - Los Angeles,0
Los Angeles,DRP,"Tarzana, CA 91356",5,95000,"Apply experience with structured and unstructured data, streaming and batch data processing, ETL, data wrangling, data ingest, and data access....",President,0
Los Angeles,Twine,"Los Angeles, CA",,62500,"About Twine Data*. For marketers and data scientists, Twine provides a source of unique, fresh, and vetted data for targeting and intelligence, at scale....",Business Development Manager,0
Los Angeles,"Career Strategies, Inc.","Los Angeles, CA 90036",,40000,"Our Tech Division focuses on top Software Engineers, Data Scientists, Data Engineers and Executives/Leaders in the tech world - and as such, work with some...",It Technical Recruiter At Nationwide Staffing Firm,0
Los Angeles,Employment Service Agency,"Downey, CA 90240",,120000,"Data acquisition, robotics, IO, industrial communication, and machine vision. The successful candidate will work with a team of engineers and scientists to...",Principal Electronics System Engineer,0
Los Angeles,The Hiring Advisors,"Long Beach, CA",,137500,"Collect, manipulate, and analyze data to draw quantitative and qualitative conclusions from primary research....",Senior Research Analyst,0
Los Angeles,Scientific Search,"Los Angeles, CA 90001",4,140000,Critically analyze and synthesize data sets. A minimum of 5 years of experience as an independent scientist in an academic or industrial environment....,"Science Director, Glial Biology",0
Los Angeles,Nelson,"Redondo Beach, CA",,108500,Conduct fielded studies and data collections. Senior Research Analyst*....,Senior Research Analyst,0
Los Angeles,NelsonJobs,"Redondo Beach, CA",4,108500,Conduct fielded studies and data collections. Senior Research Analyst....,Senior Research Analyst,0
Los Angeles,Consultative Search Group,"Cypress, CA",,140000,"DATA SCIENTIST / ENGINEER. Collect and curate data from disparate sources to perform data wrangling to clean, prepare, and standardize data for consumption....",Data Scientist / Engineer,0
Los Angeles,MMT,"Los Angeles, CA",,165000,They are looking for a Senior Data Scientist to join their ever-growing company. You will be working with large sets of data where you can truly dig in and...,Senior Data Scientist,0
Los Angeles,"Career Strategies, Inc.","Santa Monica, CA 90404",,190000,"Data scientist, statatician or similar:. We seek a *Senior Data Scientist*. Senior Data Scientists combine their multidisciplinary skillset to provide...",Senior Data Scientist,0
